output_prefix,name,motif_id,cluster,total_tfbs,SEA_mean_score,SEA_bound,NOSEA_mean_score,NOSEA_bound,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,neglog10p,category,label
HES6_MA1493.1,HES6,MA1493.1,C_HES6,4382,0.13175,303,0.08321,235,0.07366,8.225339999999998e-52,FALSE,51.08484614115039,Other,NA
IRF6_MA1509.1,IRF6,MA1509.1,C_IRF6,3157,0.10517,190,0.08403,162,-0.01647,5.17741e-8,FALSE,7.285887441800631,Other,NA
NR2F1_MA1538.1,NR2F1,MA1538.1,C_NR2F1,5097,0.38272,916,0.29988,742,-0.02814,1.34154e-23,FALSE,22.872396373666444,Other,NA
NR2F6_MA1539.1,NR2F6,MA1539.1,C_NR2F1,4666,0.39031,843,0.30775,661,-0.01245,3.64331e-7,FALSE,6.438503874170791,Other,NA
RXRB_MA1555.1,RXRB,MA1555.1,C_RXRG,4707,0.43725,784,0.36413,681,-0.11046,1.49552e-75,TRUE,74.82520777465436,Negative (Top 10%),NA
RXRG_MA1556.1,RXRG,MA1556.1,C_RXRG,5754,0.44298,956,0.36853,843,-0.0984,1.05268e-72,FALSE,71.97770362820215,Negative (Top 10%),NA
SMAD5_MA1557.1,SMAD5,MA1557.1,C_SMAD3,2917,1.08549,676,0.88439,586,-0.07883,1.70016e-48,FALSE,47.76951020577036,Other,NA
TFAP4_MA1570.1,TFAP4,MA1570.1,C_TFAP4,4968,0.14054,365,0.10833,278,-0.02564,1.25264e-15,FALSE,14.902173724279361,Other,NA
TGIF2LX_MA1571.1,TGIF2LX,MA1571.1,C_TGIF2LX,5415,0.08508,241,0.05805,194,0.01946,3.01159e-6,FALSE,5.5212041536060275,Other,NA
TGIF2LY_MA1572.1,TGIF2LY,MA1572.1,C_TGIF2LX,5461,0.09437,261,0.0647,221,0.00505,0.102286,FALSE,0.9901838045950176,Other,NA
ZBTB32_MA1580.1,ZBTB32,MA1580.1,C_ZBTB32,7226,0.23158,623,0.2071,581,-0.10738,9.66885e-73,TRUE,72.01462517724629,Negative (Top 10%),NA
ZNF135_MA1587.1,ZNF135,MA1587.1,C_ZNF135,15746,0.08195,768,0.05283,506,0.08057,2.13784e-73,FALSE,72.67002480133365,Other,NA
ZNF136_MA1588.1,ZNF136,MA1588.1,C_ZNF136,8672,0.13846,481,0.11574,417,-0.04209,1.00102e-31,FALSE,30.99955724539494,Other,NA
ZNF382_MA1594.1,ZNF382,MA1594.1,C_ZNF382,8986,0.20037,789,0.15636,625,-0.02451,1.32058e-22,FALSE,21.879235284342588,Other,NA
ZNF460_MA1596.1,ZNF460,MA1596.1,C_ZNF460,31435,0.20627,3554,0.13301,2311,0.11937,2.36358e-113,TRUE,112.62642969356392,Positive (Top 10%),NA
ZNF528_MA1597.1,ZNF528,MA1597.1,C_ZNF528,14719,0.17886,1355,0.13353,1011,0.00823,5.9936e-9,FALSE,8.222312244304856,Other,NA
HOXA5_MA0158.2,HOXA5,MA0158.2,C_HOXD3,3389,0.17922,297,0.15827,276,-0.11813,1.28137e-67,TRUE,66.89232544811922,Negative (Top 10%),NA
HOXD3_MA0912.2,HOXD3,MA0912.2,C_HOXD3,4743,0.13175,312,0.11954,306,-0.14058,4.8908e-79,TRUE,78.31062009646564,Negative (Top 10%),HOXD3
NEUROG1_MA0623.2,NEUROG1,MA0623.2,C_ATOH7,3326,0.32644,401,0.25864,331,-0.06287,1.46761e-48,FALSE,47.83338933771057,Other,NA
ZNF707_MA1715.1,ZNF707,MA1715.1,C_ZNF707,14929,0.16859,1442,0.11676,1021,0.05035,6.10213e-64,FALSE,63.21451854436958,Other,NA
ZNF8_MA1718.1,ZNF8,MA1718.1,C_ZNF8,6887,0.12572,456,0.11176,424,-0.09555,1.04867e-68,FALSE,67.97936115596897,Negative (Top 10%),NA
Foxn1_MA1684.1,Foxn1,MA1684.1,C_Foxn1,13954,0.1474,1143,0.09014,706,0.15335,5.097209999999999e-101,TRUE,100.29266747354049,Positive (Top 10%),Foxn1
ELK1HOXA1_MA1931.1,ELK1::HOXA1,MA1931.1,C_ELK1::HOXA1,8703,0.12981,665,0.08228,434,0.13613,1.59129e-83,TRUE,82.79825066641075,Positive (Top 10%),ELK1::HOXA1
HOXB2ELK1_MA1957.1,HOXB2::ELK1,MA1957.1,C_FLI1::DRGX,8557,0.11129,596,0.07535,398,0.09409,1.66995e-65,FALSE,64.77729653187588,Positive (Top 10%),NA
POU2F1SOX2_MA1962.1,POU2F1::SOX2,MA1962.1,C_POU2F1::SOX2,11135,0.02158,121,0.01599,95,0.02911,6.71785e-17,FALSE,16.17276969756187,Other,NA
ZFP14_MA1972.1,ZFP14,MA1972.1,C_ZFP14,27040,0.27876,3516,0.22138,2875,-0.03927,8.0758e-64,FALSE,63.09281444504934,Other,NA
ZNF418_MA1980.1,ZNF418,MA1980.1,C_ZNF418,17735,0.0663,657,0.0491,484,0.02793,3.59398e-26,FALSE,25.44442434400885,Other,NA
ZNF669_MA1985.1,ZNF669,MA1985.1,C_ZNF669,4648,0.27384,611,0.2046,476,0.0079,0.0038006,FALSE,2.420147835983331,Other,NA
