output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
NKX2-8_MA0673.2,MA0673.2,NKX2-8,-0.02262,1.69856e-16,FALSE,0.0217,1.90294e-10,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NKX6-1_MA0674.2,MA0674.2,NKX6-1,-0.0798,2.50137e-55,FALSE,-0.0019,0.49281,FALSE,FALSE,Low in Both,Not highlighted
NKX6-2_MA0675.2,MA0675.2,NKX6-2,-0.07551,1.53547e-41,FALSE,0.0847,4.34315e-31,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
NKX6-3_MA1530.2,MA1530.2,NKX6-3,-0.04108,8.19884e-34,FALSE,-0.0053,0.254941,FALSE,FALSE,Low in Both,Not highlighted
NOTO_MA0710.2,MA0710.2,NOTO,-0.13353,8.14882e-62,TRUE,0.04948,1.32777e-14,FALSE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
NR1D1_MA1531.2,MA1531.2,NR1D1,-0.04316,1.07677e-42,FALSE,0.00406,0.0154019,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NR1H4RXRA_MA1146.2,MA1146.2,NR1H4::RXRA,-0.02166,9.76062e-22,FALSE,-0.02878,1.6180600000000002e-18,FALSE,FALSE,Low in Both,Not highlighted
NR1I2_MA1533.2,MA1533.2,NR1I2,-0.01303,2.28328e-9,FALSE,0.02753,1.18547e-10,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NR1I3_MA1534.2,MA1534.2,NR1I3,0.09983,1.49423e-45,FALSE,-0.01936,9.35183e-4,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NR2C1_MA1535.2,MA1535.2,NR2C1,0.02496,1.57773e-29,FALSE,0.02349,2.3923600000000003e-18,FALSE,FALSE,High in Both,Not highlighted
NR2C2_MA0504.2,MA0504.2,NR2C2,-0.08085,3.7728399999999994e-86,FALSE,-0.01842,1.38376e-30,FALSE,FALSE,Low in Both,Not highlighted
NR2C2_MA1536.2,MA1536.2,NR2C2,0.02496,1.57773e-29,FALSE,0.02349,2.3923600000000003e-18,FALSE,FALSE,High in Both,Not highlighted
NR2F1_MA0017.3,MA0017.3,NR2F1,0.0183,4.23342e-22,FALSE,-0.00158,0.244036,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NR2F1_MA1537.2,MA1537.2,NR2F1,-0.01085,3.74271e-13,FALSE,-0.0292,4.38572e-35,FALSE,FALSE,Low in Both,Not highlighted
