output_prefix	name	motif_id	cluster	total_tfbs	SEA_mean_score	SEA_bound	NOSEA_mean_score	NOSEA_bound	SEA_NOSEA_change	SEA_NOSEA_pvalue	SEA_NOSEA_highlighted
MEOX2_MA0706.2	MEOX2	MA0706.2	C_VAX2	3303	0.06274	117	0.0482	89	-0.05742	1.11065E-22	False
MGAEVX1_MA1960.2	MGA::EVX1	MA1960.2	C_MGA::EVX1	6207	0.12812	455	0.09641	350	-0.01412	8.05170E-08	False
MITF_MA0620.4	MITF	MA0620.4	C_BHLHE41	5416	0.1019	278	0.06371	185	0.07194	3.89023E-44	False
MIXL1_MA0662.2	MIXL1	MA0662.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
MLXIPL_MA0664.2	MLXIPL	MA0664.2	C_Mlxip	4785	0.09127	268	0.05158	154	0.14487	9.83235E-70	True
MNT_MA0825.2	MNT	MA0825.2	C_Mlxip	8289	0.07507	372	0.04581	238	0.10053	5.54030E-67	False
MNX1_MA0707.3	MNX1	MA0707.3	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
MSANTD3_MA1523.2	MSANTD3	MA1523.2	C_MSANTD3	13368	0.19633	1228	0.14142	966	0.00487	2.94302E-03	False
MSX1_MA0666.3	MSX1	MA0666.3	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
MSX2_MA0708.3	MSX2	MA0708.3	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
MXI1_MA1108.3	MXI1	MA1108.3	C_MXI1	27505	0.13035	1862	0.09882	1447	-0.04221	1.69005E-58	False
MYB_MA0100.4	MYB	MA0100.4	C_MYB	19053	0.05521	614	0.03713	420	0.04344	1.61112E-48	False
MYCN_MA0104.5	MYCN	MA0104.5	C_Mlxip	3030	0.09336	185	0.06436	124	0.06339	2.69466E-32	False
MYF5_MA1641.2	MYF5	MA1641.2	C_Twist2	8041	0.0391	178	0.02503	114	0.07562	6.62578E-46	False
MYOD1_MA0499.3	MYOD1	MA0499.3	C_MYOD1	10746	0.08007	499	0.05538	339	0.0221	1.31278E-21	False
MYOG_MA0500.3	MYOG	MA0500.3	C_Twist2	11446	0.06463	433	0.03867	270	0.10457	2.62025E-66	False
MZF1_MA0056.3	MZF1	MA0056.3	C_MZF1	7852	0.06204	294	0.05745	257	-0.11341	5.81596E-71	True
NEUROD1_MA1109.2	NEUROD1	MA1109.2	C_NEUROD1	14136	0.0843	681	0.06388	524	-0.00682	2.92186E-04	False
NEUROG2_MA1642.2	NEUROG2	MA1642.2	C_NEUROD1	8170	0.09857	457	0.07427	356	0.00198	6.86240E-03	False
NFATC3_MA0625.3	NFATC3	MA0625.3	C_NFATC3	29946	0.1238	2000	0.0913	1470	-0.01521	5.92954E-27	False
NFATC4_MA1525.3	NFATC4	MA1525.3	C_NFATC3	9685	0.08921	497	0.06981	404	-0.05518	1.42504E-45	False
NFIA_MA0670.2	NFIA	MA0670.2	C_NFIA	18708	0.21749	1792	0.16377	1363	0.01289	2.53212E-13	False
NFIB_MA1643.2	NFIB	MA1643.2	C_NFIB	10833	0.23314	1020	0.19309	817	-0.05599	7.65104E-55	False
NFIC_MA0161.3	NFIC	MA0161.3	C_NFIA	7162	0.38778	1151	0.29129	890	0.03037	1.74289E-32	False
NFIC_MA1527.2	NFIC	MA1527.2	C_NFIB	7299	0.0999	379	0.08049	284	-0.03908	1.36378E-29	False
NFIL3_MA0025.3	NFIL3	MA0025.3	C_DBP	7772	0.05471	250	0.0484	198	-0.04583	2.12069E-35	False
NFIX_MA0671.2	NFIX	MA0671.2	C_NFIA	18708	0.21749	1792	0.16377	1363	0.01289	2.53212E-13	False
NFIX_MA1528.2	NFIX	MA1528.2	C_NFIB	7590	0.17444	644	0.13448	504	-0.02775	6.65292E-23	False
NFKB2_MA0778.2	NFKB2	MA0778.2	C_NFKB2	4403	0.35373	758	0.25716	568	0.05199	1.34185E-41	False
NFYA_MA0060.4	NFYA	MA0060.4	C_NFYC	6824	0.56744	1251	0.4	958	0.08243	3.19882E-73	False
NFYB_MA0502.3	NFYB	MA0502.3	C_NFYB	8830	0.68101	1664	0.53228	1379	-0.02503	4.06938E-28	False
NFYC_MA1644.2	NFYC	MA1644.2	C_NFYC	4899	0.59794	965	0.42198	770	0.07467	3.65378E-57	False
NHLH2_MA1529.2	NHLH2	MA1529.2	C_NHLH2	9482	0.05764	332	0.03558	212	0.10675	6.59347E-61	False
NKX2-2_MA1645.2	NKX2-2	MA1645.2	C_MSANTD3	10460	0.1434	761	0.11036	604	-0.0257	9.71046E-26	False
NKX2-3_MA0672.2	NKX2-3	MA0672.2	C_NKX2-8	6653	0.11291	362	0.08218	280	0.00508	1.29654E-01	False
NKX2-4_MA2003.2	NKX2-4	MA2003.2	C_NKX2-8	7064	0.1106	371	0.08068	299	-0.02262	1.69856E-16	False
NKX2-5_MA0063.3	NKX2-5	MA0063.3	C_MSANTD3	4370	0.18975	392	0.13987	301	0.01072	3.83014E-04	False
NKX2-8_MA0673.2	NKX2-8	MA0673.2	C_NKX2-8	7064	0.1106	371	0.08068	299	-0.02262	1.69856E-16	False
NKX6-1_MA0674.2	NKX6-1	MA0674.2	C_VAX2	5611	0.14222	388	0.11717	371	-0.0798	2.50137E-55	False
NKX6-2_MA0675.2	NKX6-2	MA0675.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
NKX6-3_MA1530.2	NKX6-3	MA1530.2	C_NKX6-3	5586	0.14652	426	0.11298	365	-0.04108	8.19884E-34	False
NOTO_MA0710.2	NOTO	MA0710.2	C_VAX2	3744	0.06191	138	0.05441	129	-0.13353	8.14882E-62	True
NR1D1_MA1531.2	NR1D1	MA1531.2	C_NR1D1	7964	0.23197	841	0.19104	684	-0.04316	1.07677E-42	False
NR1H4RXRA_MA1146.2	NR1H4::RXRA	MA1146.2	C_NR2F1	4549	0.29091	608	0.22128	501	-0.02166	9.76062E-22	False
NR1I2_MA1533.2	NR1I2	MA1533.2	C_NR1I2	5765	0.14657	443	0.11654	329	-0.01303	2.28328E-09	False
NR1I3_MA1534.2	NR1I3	MA1534.2	C_NR1I3	11991	0.01656	116	0.0102	76	0.09983	1.49423E-45	False
NR2C1_MA1535.2	NR2C1	MA1535.2	C_Nr1h3	26115	0.06022	974	0.04473	714	0.02496	1.57773E-29	False
NR2C2_MA0504.2	NR2C2	MA0504.2	C_Nr2f6	17013	0.45619	2940	0.37479	2531	-0.08085	3.77284E-86	False
NR2C2_MA1536.2	NR2C2	MA1536.2	C_Nr1h3	26115	0.06022	974	0.04473	714	0.02496	1.57773E-29	False
NR2F1_MA0017.3	NR2F1	MA0017.3	C_NR2F1	11800	0.14911	975	0.10804	744	0.0183	4.23342E-22	False
NR2F1_MA1537.2	NR2F1	MA1537.2	C_Nr2f6	10979	0.43902	1777	0.3302	1431	-0.01085	3.74271E-13	False
NR2F2_MA1111.2	NR2F2	MA1111.2	C_Nr1h3	7263	0.04114	186	0.02638	134	0.08463	1.42386E-48	False
NR3C1_MA0113.4	NR3C1	MA0113.4	C_Pgr	4475	0.13924	388	0.10494	283	0.02067	3.26720E-14	False
NR3C2_MA0727.2	NR3C2	MA0727.2	C_Pgr	4944	0.13224	409	0.10171	299	0.01098	2.89070E-06	False
NR4A1_MA1112.3	NR4A1	MA1112.3	C_NR4A2	12786	0.03072	233	0.01966	152	0.11579	3.68555E-61	True
NR4A2_MA0160.3	NR4A2	MA0160.3	C_NR4A2	11474	0.03282	229	0.02142	151	0.10532	2.19056E-60	False
NR4A2RXRA_MA1147.2	NR4A2::RXRA	MA1147.2	C_NR2F1	4150	0.36121	679	0.27157	539	-0.02384	3.08209E-19	False
NR6A1_MA1541.2	NR6A1	MA1541.2	C_NR6A1	10928	0.24058	1109	0.19557	959	-0.09116	2.17192E-79	False
