gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,interaction_log2FC,neglog10_padj,direction
Exoc5,1220.3662249740612,0.30834921478379007,0.16088926912785154,1.9165306453021345,0.055297586340281125,0.26093950115026543,0.30834921478379007,0.5834601722104444,Not significant
Ap5m1,296.5460093546138,0.18357968255176457,0.170363915227346,1.0775737473911802,0.28122402316738415,0.6059209003726547,0.18357968255176457,0.2175840668796639,Not significant
Naa30,324.09546917825185,0.5816547179013191,0.20829975901918954,2.7923926587343497,0.0052319823435459665,0.057820315241692996,0.5816547179013191,1.2379195448453244,Not significant
Ttc5,886.59017117951,0.04639150080103272,0.10954235295995873,0.42350286941517784,0.6719284054712384,0.875565801035687,0.04639150080103272,0.057711209999887714,Not significant
Rpph1,27.326098979976788,0.20623302681611191,0.5020314850714148,0.4107969976958217,0.6812213948389403,0.8781868781649553,0.20623302681611191,0.056413056394836784,Not significant
Parp2,907.7801178809393,-0.13877999398635438,0.09416779733425087,-1.473752152168872,0.14054833542489756,0.43474001493195025,-0.13877999398635438,0.36177038404578993,Not significant
Tep1,4258.131377262726,-0.12159727261923334,0.10051853762847032,-1.2096999766219518,0.2263940388490432,0.5486697691111895,-0.12159727261923334,0.2606889681251964,Not significant
Osgep,737.7171987892726,-0.15788929795634468,0.1322740410215023,-1.19365294004043,0.2326137561269094,0.5538775376455374,-0.15788929795634468,0.2565862471920098,Not significant
Apex1,929.366132471936,0.08286216284705197,0.0993312881137271,0.8342000231808212,0.4041682780907357,0.7137541372881294,0.08286216284705197,0.14645136134336764,Not significant
Tmem55b,1914.934545605699,-0.12328603359885802,0.08710838628056154,-1.4153176159385428,0.1569753922956984,0.45900775027703555,-0.12328603359885802,0.338179981403625,Not significant
Pnp,3046.501967948204,-0.2290551054129929,0.16345156746058423,-1.4013637738177624,0.16110531941604495,0.46514388904386056,-0.2290551054129929,0.332412680333057,Not significant
Pnp2,40.30278446847898,0.9149919739224216,0.42003772234626613,2.1783566695186733,0.029379493173592383,0.1765896497273728,0.9149919739224216,0.7530347548808627,Not significant
Ang,125.7499424903108,-0.22960561780741456,0.1870020804680585,-1.2278238682303488,0.2195130936593749,0.5423945514390234,-0.22960561780741456,0.26568468177346266,Not significant
Rnase4,1301.2019343413924,-0.314184935880604,0.1695079545514505,-1.8535114573944071,0.06380908548084961,0.28116899018365715,-0.314184935880604,0.5510325788682418,Not significant
