"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tirap",515.154444977612,-0.109021620603544,0.125593288038479,-0.868052921507579,0.385365361986202,0.697873301194989
"Foxred1",717.640537256428,-0.187817646338393,0.106442599420343,-1.76449699050189,0.0776483415911819,0.315435219937716
"Srpr",2956.4128960811,-0.0225185323339675,0.0606332970956203,-0.371388880575886,0.710347906334728,0.890212940936875
"Fam118b",351.201158080359,-0.131999738491582,0.131584212186047,-1.00315787356729,0.315784694920977,0.638804702460101
"Rpusd4",546.766117924768,-0.14059736436968,0.127467461825867,-1.10300591504481,0.270024596452426,0.594395606716595
"Cdon",9.22605659276243,0.445444863362345,0.62649769357561,0.711007986031133,0.477079287033551,0.761285498341
"Pus3",139.368573039204,0.243462638048757,0.176562482398976,1.37890357419538,0.167924486034572,0.47470810622859
"Hyls1",141.892186112355,-0.177986215216029,0.188424969948134,-0.944599939514502,0.34486315792614,0.663195530836154
"Chek1",208.557643555841,-0.0984141139802321,0.195067361052991,-0.504513484208654,0.61390058899888,0.844606806791279
"Stt3a",4557.59276000856,0.0839661609995091,0.0834852740239786,1.00576014130818,0.314530965089034,0.637750920060707
"Ei24",1642.79942065951,-0.0191859985830655,0.081777125747284,-0.234613266335088,0.81450891187623,0.934637086296853
"Tmem218",107.722947780858,0.0185494748834166,0.191440140002902,0.0968943863242858,0.922810266895679,0.972278301712932
"Slc37a2",14178.5021269354,-0.358463608422208,0.104410938001878,-3.43319977084931,0.000596502417841175,0.0123601793520015
"Ccdc15",40.8957800911431,-0.447723864425048,0.364217539879676,-1.22927595571855,0.21896835906342,0.541774293746248
"Robo4",5.99514477828939,3.45238016416992,1.28845184038519,2.67947939997338,0.00737367402012613,0.0719554584952446
"Msantd2",205.181838386234,-0.062689034635599,0.15783585501482,-0.397178667861703,0.691235711785856,0.882541111741956
"Esam",8.58110373112594,1.29391789058829,0.787058465934689,1.64399208774366,0.100177836750813,0.362508691111345
"Nrgn",13.6519428630014,0.429404165703615,0.76162104581463,0.563802914931696,0.572888267802035,0.818245346640179
"Spa17",14.7139362371403,0.0682910974928679,0.516868185580867,0.132124784225442,0.894885592783985,0.962847585877789
"Siae",1227.40936521899,-0.232921553965766,0.102289873799429,-2.27707343175024,0.0227818409384521,0.150855407605489
"Tbrg1",1492.20735853549,-0.118467153338585,0.0912331246232285,-1.29851031440419,0.194112034331026,0.510771886356258
"Vwa5a",5458.31734817301,0.163457154878413,0.17035696620153,0.959497920883641,0.337307966567627,0.656441256466198
"Olfr920",29.9073407779907,-0.42449288576816,0.394160080368417,-1.07695554905355,0.281500124633607,0.606055674114191
"Zfp202",143.587404899512,-0.024122761855373,0.171173754589622,-0.140925587063308,0.88792872831159,0.960782091538591
"Scn3b",37.4355038529842,-0.0945528790540105,0.339384545608005,-0.278601015507703,0.780551033291219,0.922671918933734
"Gramd1b",2020.65342170538,0.114403307915175,0.185626418945443,0.616309405552874,0.537690332390122,0.799739712343774
"Clmp",25.0625429162048,1.61071934223126,0.420173833523294,3.83345942493576,0.000126353650575982,0.00378253778530164
"Hspa8",31094.9832095639,-0.0750548003053425,0.0736215668391196,-1.01946757625187,0.30798103867675,0.630450432667593
"Ubash3b",1494.09557822075,0.479652073413552,0.121840729073261,3.93671374967845,8.26050432833364e-05,0.00274239740426205
"Sorl1",501.414977652944,-0.488588886149456,0.25004062481201,-1.95403801488976,0.0506967216232656,0.247570683870889
"Sc5d",370.225431304047,0.433041754863149,0.140825552698726,3.07502258336294,0.00210486615055235,0.0308612384817446
"Tbcel",773.955977906035,0.000524650345054046,0.109566870711944,0.00478840311533013,0.996179421683599,0.999460645075179
"Arhgef12",897.811505188314,0.409785113227451,0.192247245620851,2.1315525842988,0.0330436452292926,0.191351603362025
"Oaf",153.212401453904,0.0773891773020679,0.185393912319711,0.417431059810694,0.6763631403379,0.876966752677697
"Trim29",11.1471311981515,2.31966506935998,0.653037038133091,3.55211869144737,0.000382142441309289,0.00886861619983309
"Pvrl1",28.7634096241162,-0.317940903617217,0.351772179397849,-0.903826175684094,0.366087579650326,0.681186785348133
"Thy1",39.7921888077161,2.01972002873667,0.553793485528236,3.64706353815296,0.000265254349885299,0.00683268287315537
"Usp2",72.6936799899073,-0.168926873945532,0.267610887666719,-0.631240662210698,0.527883178540267,0.79351699951272
"Rnf26",844.650216415552,-0.0280597433683745,0.116853814383011,-0.240126892874915,0.810231886529259,0.93220059809001
