"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072033","renal vesicle formation","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Kif26b/Sox8/Wnt4",3
"GO:0072319","vesicle uncoating","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Sh3gl2/Dnajc6/Sh3gl3",3
"GO:0090521","podocyte cell migration","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Daam2/Rock1/Kank1",3
"GO:0120180","cell-substrate junction disassembly","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Map4k4/Pik3r1/Iqsec1",3
"GO:0120181","focal adhesion disassembly","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Map4k4/Pik3r1/Iqsec1",3
"GO:1903748","negative regulation of establishment of protein localization to mitochondrion","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Mapt/Lrrk2/Bag3",3
"GO:1905603","regulation of blood-brain barrier permeability","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Angpt1/Sh3gl2/Tjp1",3
"GO:1990962","xenobiotic transport across blood-brain barrier","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Slc22a2/Slc22a1/Abcg2",3
"GO:2000169","regulation of peptidyl-cysteine S-nitrosylation","3/2081","8/28564",0.0163715069287249,0.0834722586146768,0.0621928406686744,"Ncoa7/Oxr1/Tbc1d24",3
"GO:0021895","cerebral cortex neuron differentiation","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Nr2e1/Pafah1b1/D16Ertd472e/Lhx6/Chd5/Emx1",6
"GO:0031670","cellular response to nutrient","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Vdr/Rxra/Postn/Mn1/Folr1/Gas6",6
"GO:0061298","retina vasculature development in camera-type eye","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Arhgef15/Hif1a/Lrp5/Clic4/Col4a1/Nrp1",6
"GO:0098901","regulation of cardiac muscle cell action potential","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Jup/Calm1/Ryr2/Pkp2/Cacna1c/Hcn4",6
"GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Bok/Lrrk2/Prkn/Ptpn2/Ptpn1/Wfs1",6
"GO:2000819","regulation of nucleotide-excision repair","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Dpf3/Arid1b/Actl6a/Actb/Bcl7c/Smarcc1",6
"GO:2000831","regulation of steroid hormone secretion","6/2081","29/28564",0.01648171668666,0.083633196329582,0.0623127508499347,"Bmp6/Gal/Ptpn11/Tac1/Cyp19a1/Agtr2",6
"GO:0045807","positive regulation of endocytosis","17/2081","133/28564",0.0166413662387087,0.0842709729802364,0.0627879403592955,"Abca13/Kif3a/Ankfy1/F2rl1/Angpt1/Lrrk2/Tbc1d5/Nedd4l/Dnm1/Lbp/Pcsk9/Magi2/Tfr2/Gata2/Apoe/Arrb1/Snap91",17
"GO:0046632","alpha-beta T cell differentiation","17/2081","133/28564",0.0166413662387087,0.0842709729802364,0.0627879403592955,"Zap70/Rc3h1/Tnfsf18/Lilrb4b/Cd83/Gadd45g/Socs5/Gata3/Abl1/Rorc/Zc3h12a/Runx3/Gimap5/Gimap3/Foxp1/Kmt2a/Zbtb16",17
"GO:0046822","regulation of nucleocytoplasmic transport","17/2081","133/28564",0.0166413662387087,0.0842709729802364,0.0627879403592955,"Rab23/Jup/Dnajc27/Pik3r1/Ipo5/Angpt1/Gsk3b/Nup214/Pkig/Anp32b/Zc3h12a/Ptpn11/Bag3/Gas6/Cdh1/Ei24/Agtr2",17
"GO:0032653","regulation of interleukin-10 production","10/2081","64/28564",0.0168273297109981,0.0850969037830639,0.0634033182546118,"Inava/Cd34/Lilrb4b/Epx/Trib2/Cd83/F2rl1/Tnfrsf21/Lilra5/Btk",10
