"gene","baseMean.x","log2FC_male","lfcSE.x","stat.x","pvalue.x","padj_male","baseMean.y","log2FC_female","lfcSE.y","stat.y","pvalue.y","padj_female","baseMean","log2FC_int","lfcSE","stat","pvalue","padj_int"
"Zfp622",1015.95416438924,0.0576178646958268,0.0824347321672487,0.698951317982426,0.48458245493193,0.829806799209467,1112.35916376547,-0.13715146626215,0.0729789012274936,-1.87933038118256,0.0601993958111003,0.27757344427359,1064.15666407736,-0.19347202393557,0.105816773536777,-1.82836820164743,0.067494310346907,0.290173139473082
"Ank",1456.70890458487,0.196736079553998,0.0546792197532768,3.59800451509201,0.000320668053509702,0.0118046532689297,1424.02970581403,-0.0676711962512824,0.0962589494177297,-0.703011996916914,0.482048273088496,0.745406456304145,1440.36930519945,-0.264661040260597,0.106064282914863,-2.49528901706749,0.0125854574431386,0.102775612256837
"Otulin",1367.30985702546,-0.151355620882506,0.0603901653062619,-2.50629585322251,0.0122003487577153,0.136637177952906,1626.83964208317,-0.145659986713231,0.0898104538334071,-1.62186004519498,0.104833318218516,0.363116145162911,1497.07474955432,0.00509271402210214,0.103034695704185,0.0494271758391312,0.960578871436863,0.986487944166111
"Fam105a",2155.86792701812,0.0498974191539922,0.0613614171089993,0.813172535851919,0.41611914334786,0.794113040202611,1992.27121604606,-0.29437421634037,0.0897817109392005,-3.27877708344986,0.00104257956500446,0.0238735042497826,2074.06957153209,-0.345401082803914,0.105298390125649,-3.2802123792373,0.0010372896992472,0.0186362459448761
"Trio",2268.19950379774,0.066410100677583,0.0762751499520186,0.870664963875636,0.383937113977877,0.771535915598979,1686.07753281993,0.262244616839309,0.167997142756091,1.56100641080577,0.118522238271269,0.386189364933448,1977.13851830884,0.195326312009636,0.196290770495953,0.995086582604571,0.319694155750963,0.641599998957294
"Ctnnd2",967.651891038971,0.445293074420094,0.150737097315933,2.95410408153738,0.00313578227769631,0.0566066771166364,650.959509430794,-0.157304237560433,0.135700372958101,-1.15920269142519,0.246373574657713,0.553262498664935,809.305700234883,-0.60233976594365,0.220640144241614,-2.729964522159,0.00633411417358444,0.0655088772942664
"Dap",1465.35300420406,-0.17090232549007,0.0747619947789601,-2.28595191976025,0.0222570715179798,0.196463780865253,1872.21488798782,-0.0705296400936247,0.0758645943514036,-0.929677943929055,0.352537857565116,0.650305296919782,1668.78394609594,0.1005350961135,0.102697295948356,0.978945893220569,0.327606714521354,0.648346672007918
"Ankrd33b",1143.82152790446,0.0361877013243839,0.102160006960272,0.354225713183993,0.72316973494613,0.93000772773811,1232.64579250494,0.301137864495055,0.11282187860494,2.66914421403606,0.00760447912896969,0.0857774940901854,1188.2336602047,0.265626435820311,0.156972898371739,1.69218023350287,0.0906116141636709,0.344737686906096
"Ropn1l",72.3201976135142,0.0510431185249887,0.177762709448887,0.287141879662143,0.774003686386169,0.945897422825409,88.7601647067127,-0.183955853317897,0.160095789065025,-1.14903617635553,0.250541063785782,0.557141735134604,80.5401811601134,-0.230304377629726,0.218477105233134,-1.05413506547504,0.291821084014861,0.615761231219406
"March6",3006.70484257385,-0.0480144726896807,0.0878513996561594,-0.546541920534039,0.584693480046021,0.878286402005668,2223.64699995948,0.299279597689162,0.121874781700691,2.45563186668227,0.0140637144425243,0.126066349771031,2615.17592126666,0.34768422644222,0.155497135510205,2.23595261289814,0.0253548753820376,0.162505945110335
