output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
NR1D1_MA1531.2	NR1D1	MA1531.2	C_NR1D1	7964	0.18808	510	0.16527	478	0.00406	1.54019E-02	False
NR1H4RXRA_MA1146.2	NR1H4::RXRA	MA1146.2	C_NR2F1	4549	0.25123	383	0.24526	367	-0.02878	1.61806E-18	False
NR1I2_MA1533.2	NR1I2	MA1533.2	C_NR1I2	5765	0.12405	219	0.10744	195	0.02753	1.18547E-10	False
NR1I3_MA1534.2	NR1I3	MA1534.2	C_NR1I3	11991	0.01124	44	0.01053	58	-0.01936	9.35183E-04	False
NR2C1_MA1535.2	NR2C1	MA1535.2	C_Nr1h3	26115	0.0472	489	0.04117	446	0.02349	2.39236E-18	False
NR2C2_MA0504.2	NR2C2	MA0504.2	C_Nr2f6	17013	0.35435	1892	0.34795	1799	-0.01842	1.38376E-30	False
NR2C2_MA1536.2	NR2C2	MA1536.2	C_Nr1h3	26115	0.0472	489	0.04117	446	0.02349	2.39236E-18	False
NR2F1_MA0017.3	NR2F1	MA0017.3	C_NR2F1	11800	0.12046	547	0.11098	515	-0.00158	2.44036E-01	False
NR2F1_MA1537.2	NR2F1	MA1537.2	C_Nr2f6	10979	0.30435	1067	0.30366	1039	-0.0292	4.38572E-35	False
NR2F2_MA1111.2	NR2F2	MA1111.2	C_Nr1h3	7263	0.02722	78	0.02775	87	-0.03337	1.08171E-10	False
NR3C1_MA0113.4	NR3C1	MA0113.4	C_Pgr	4475	0.12346	218	0.09136	159	0.0995	1.32194E-49	True
NR3C2_MA0727.2	NR3C2	MA0727.2	C_Pgr	4944	0.12082	234	0.08826	170	0.10802	6.15341E-62	True
NR4A1_MA1112.3	NR4A1	MA1112.3	C_NR4A2	12786	0.02211	109	0.02012	107	-0.03684	4.16320E-14	False
